"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.9304833205145,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.6713031564291,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.4253900823175,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.1831428835957,
"AUS","WKGPOP","TOT","PC_POP","A","2016",65.9175739049387,
"AUS","WKGPOP","TOT","PC_POP","A","2017",65.7345013750993,
"AUS","WKGPOP","TOT","PC_POP","A","2018",65.5532463120061,
"AUS","WKGPOP","TOT","PC_POP","A","2019",65.375521199949,
"AUS","WKGPOP","TOT","PC_POP","A","2020",65.0800304998193,
"AUS","WKGPOP","TOT","PC_POP","A","2021",64.6387878348017,
"AUT","WKGPOP","TOT","PC_POP","A","2012",67.5673613281067,
"AUT","WKGPOP","TOT","PC_POP","A","2013",67.439104518811,
"AUT","WKGPOP","TOT","PC_POP","A","2014",67.3005707442428,
"AUT","WKGPOP","TOT","PC_POP","A","2015",67.2390894556232,
"AUT","WKGPOP","TOT","PC_POP","A","2016",67.1433439140411,
"AUT","WKGPOP","TOT","PC_POP","A","2017",66.9827982098614,
"AUT","WKGPOP","TOT","PC_POP","A","2018",66.8095694957979,
"AUT","WKGPOP","TOT","PC_POP","A","2019",66.6369440426546,
"AUT","WKGPOP","TOT","PC_POP","A","2020",66.4544578267313,
"AUT","WKGPOP","TOT","PC_POP","A","2021",66.2572389940479,
"BEL","WKGPOP","TOT","PC_POP","A","2012",65.4776834456296,
"BEL","WKGPOP","TOT","PC_POP","A","2013",65.2488491494812,
"BEL","WKGPOP","TOT","PC_POP","A","2014",65.0118544393279,
"BEL","WKGPOP","TOT","PC_POP","A","2015",64.8108364178268,
"BEL","WKGPOP","TOT","PC_POP","A","2016",64.6308903149472,
"BEL","WKGPOP","TOT","PC_POP","A","2017",64.4304063033826,
"BEL","WKGPOP","TOT","PC_POP","A","2018",64.2367503994304,
"BEL","WKGPOP","TOT","PC_POP","A","2019",64.0615273586521,
"BEL","WKGPOP","TOT","PC_POP","A","2020",63.943657296146,
"BEL","WKGPOP","TOT","PC_POP","A","2021",63.8508164601694,
"CAN","WKGPOP","TOT","PC_POP","A","2012",68.8449563985619,
"CAN","WKGPOP","TOT","PC_POP","A","2013",68.4831699177897,
"CAN","WKGPOP","TOT","PC_POP","A","2014",68.1288050334343,
"CAN","WKGPOP","TOT","PC_POP","A","2015",67.7447282445452,
"CAN","WKGPOP","TOT","PC_POP","A","2016",67.3581848448858,
"CAN","WKGPOP","TOT","PC_POP","A","2017",67.0351150557627,
"CAN","WKGPOP","TOT","PC_POP","A","2018",66.7564843506088,
"CAN","WKGPOP","TOT","PC_POP","A","2019",66.4708308744155,
"CAN","WKGPOP","TOT","PC_POP","A","2020",66.1193945801064,
"CAN","WKGPOP","TOT","PC_POP","A","2021",65.748473021098,
"CZE","WKGPOP","TOT","PC_POP","A","2012",68.7410733707314,
"CZE","WKGPOP","TOT","PC_POP","A","2013",67.9860435808435,
"CZE","WKGPOP","TOT","PC_POP","A","2014",67.2953162074695,
"CZE","WKGPOP","TOT","PC_POP","A","2015",66.6318945888159,
"CZE","WKGPOP","TOT","PC_POP","A","2016",65.9663762942861,
"CZE","WKGPOP","TOT","PC_POP","A","2017",65.3180038464422,
"CZE","WKGPOP","TOT","PC_POP","A","2018",64.7604981164888,
"CZE","WKGPOP","TOT","PC_POP","A","2019",64.2878780323852,
"CZE","WKGPOP","TOT","PC_POP","A","2020",63.9227656047973,
"CZE","WKGPOP","TOT","PC_POP","A","2021",63.3519476994719,
"DNK","WKGPOP","TOT","PC_POP","A","2012",64.7880424228377,
"DNK","WKGPOP","TOT","PC_POP","A","2013",64.5763680683727,
